station_id,architecture,target_variable,ablation_group,mae,mae_baseline,delta_mae,n_features
KMDW,catboost,MaxT,Physics,1.1049138431995746,1.180504458660218,-0.0755906154606433,41
KMDW,catboost,MaxT,Time,1.1213351051529108,1.180504458660218,-0.0591693535073072,44
KMDW,xgboost,MaxT,ECMWF,0.9773660110575813,0.942848727107048,0.0345172839505332,44
KMDW,xgboost,MaxT,Bias,0.9336508704083306,0.942848727107048,-0.0091978566987174,44
KMDW,xgboost,MaxT,Lags,0.949947544506618,0.942848727107048,0.0070988173995699,42
KMDW,xgboost,MaxT,Rolling,0.9544977396726608,0.942848727107048,0.0116490125656127,36
KMDW,xgboost,MaxT,NWP_atmosphere,0.9335517031805856,0.942848727107048,-0.0092970239264624,43
KMDW,xgboost,MaxT,Physics,0.9051817059516908,0.942848727107048,-0.0376670211553573,41
KMDW,xgboost,MaxT,Time,0.9768259525299072,0.942848727107048,0.0339772254228591,44
KMDW,lightgbm,MaxT,ECMWF,1.269096006873241,1.2737079168276968,-0.0046119099544557,44
KMDW,lightgbm,MaxT,Bias,1.3237440485135348,1.2737079168276968,0.0500361316858379,44
KMDW,lightgbm,MaxT,Lags,1.361228706610268,1.2737079168276968,0.0875207897825711,42
KMDW,lightgbm,MaxT,Rolling,1.3332004182879686,1.2737079168276968,0.0594925014602718,36
KMDW,lightgbm,MaxT,NWP_atmosphere,1.3011988603310474,1.2737079168276968,0.0274909435033505,43
KMDW,lightgbm,MaxT,Physics,1.371333587498167,1.2737079168276968,0.0976256706704701,41
KMDW,lightgbm,MaxT,Time,1.261511113020685,1.2737079168276968,-0.0121968038070117,44
KMDW,linear,MaxT,ECMWF,0.810960183304222,0.812575685642437,-0.0016155023382149,44
KMDW,linear,MaxT,Bias,0.876825910428097,0.812575685642437,0.06425022478566,44
KMDW,linear,MaxT,Lags,0.8126573251348718,0.812575685642437,8.163949243478186e-05,42
KMDW,linear,MaxT,Rolling,0.810272850971973,0.812575685642437,-0.0023028346704639,36
KMDW,linear,MaxT,NWP_atmosphere,0.8222872114011438,0.812575685642437,0.0097115257587068,43
KMDW,linear,MaxT,Physics,0.8221921804147864,0.812575685642437,0.0096164947723493,41
KMDW,linear,MaxT,Time,0.8121245380522052,0.812575685642437,-0.0004511475902317,44
KMDW,mlp,MaxT,ECMWF,0.8249776893493436,0.8245426100412301,0.0004350793081134,44
KMDW,mlp,MaxT,Bias,0.8757175889548183,0.8245426100412301,0.0511749789135882,44
KMDW,mlp,MaxT,Lags,0.8263805023838936,0.8245426100412301,0.0018378923426635,42
KMDW,mlp,MaxT,Rolling,0.8300034964044036,0.8245426100412301,0.0054608863631735,36
KMDW,mlp,MaxT,NWP_atmosphere,0.8102513727239443,0.8245426100412301,-0.0142912373172857,43
KMDW,mlp,MaxT,Physics,0.8273119489444029,0.8245426100412301,0.0027693389031727,41
KMDW,mlp,MaxT,Time,0.8215768815742617,0.8245426100412301,-0.0029657284669684,44
KMDW,catboost,MinT,ECMWF,1.4577985428557736,1.351636203682428,0.1061623391733455,44
